Terület,Gép neve,Belső rendelési szám,SAP költséghely szám
"MFC-terület","DMG 1","U00980000101","15009126"
"MFC-terület","DMG 2","U00980000102","15009126"
"MFC-terület","DMG 3","U00980000103","15009126"
"MFC-terület","DMG 4","U00980000104","15009126"
"MFC-terület","DMG 5","U00980000115","15009126"
"MFC-terület","DMG 6","U00980000116","15009126"
"MFC-terület","DMG CTX","270009","15009126"
"MFC-terület","Behringer 1","U00980000126","15009126"
"MFC-terület","Behringer 2","U00980000127","15009126"
"MFC-terület","Behringer 3","U00980000128","15009126"
"MFC-terület","Behringer 4","U00980000129","15009126"
"MFC-terület","Behringer 5","U00980000130","15009126"
"MFC-terület","Forgácsprés 1","U00980000117","15009126"
"MFC-terület","Forgácsprés 2","U00980000183","15009126"
"MFC-terület","G-mill 1","U00980000069","15009126"
"MFC-terület","G-mill 2","U00980000070","15009126"
"MFC-terület","G-mill 3","U00980000071","15009126"
"MFC-terület","G-mill 4","U00980000072","15009126"
"MFC-terület","G-mill 5","U00980000073","15009126"
"MFC-terület","G-mill 6","U00980000074","15009126"
"MFC-terület","G-mill 7","U00980000075","15009126"
"MFC-terület","G-mill 8","U00980000076","15009126"
"MFC-terület","G-mill 9","U00980000088","15009126"
"MFC-terület","G-mill 10","U00980000094","15009126"
"MFC-terület","G-mill 11","U00980000095","15009126"
"MFC-terület","G-mill 12","U00980000096","15009126"
"MFC-terület","G-mill 13","U00980000097","15009126"
"MFC-terület","G-mill 14","U00980000098","15009126"
"MFC-terület","G-mill 15","U00980000099","15009126"
"MFC-terület","G-mill 16","U00980000100","15009126"
"MFC-terület","G-mill 17","U00980000107","15009126"
"MFC-terület","G-mill 18","U00980000108","15009126"
"MFC-terület","G-mill 19","U00980000123","15009126"
"MFC-terület","G-mill 20","U00980000124","15009126"
"MFC-terület","G-mill 21","U00980000120","15009126"
"MFC-terület","G-mill 22","U00980000121","15009126"
"MFC-terület","Heller 1","U00980000032","15009126"
"MFC-terület","Heller 2","U00980000033","15009126"
"MFC-terület","Heller 3","U00980000034","15009126"
"MFC-terület","Heller 4","U00980000035","15009126"
